|0000|005|0|||01022019|28022019|JOSE MARIA EMPREENDIMENTOS DE ALIMENTOS LTDA|57408348000143|SP|3505708||00|2|
|0150|129625F|AGUAS DO IMPERADOR S/A|1058|02150327000175||85202812|3303906||RUA DOUTOR SA EARP|84||MORIN|
|0150|301472F|PRESERVE SEGURANCA E TRANSPORTE DE VALORES LTDA|1058|11179264000502|||2611101||RUA DORIA DE SOUZA|20||PARQUE BANDEIRANTE|
|0150|130532F|CAEMA COMPAHIA SANEAMENTO AMBIENTAL DO MARANHAO|1058|06274757000150||120505371|2111300||AVENIDA JERONIMO A MARANHAO|3531||COHAFUMA|
|0150|128353F|CESAMA COMPANHIA SANEAMENTO MUNICIPAL|1058|21572243000174||3676987760099|3136702||AVENIDA INDEPENDENCIA|992||CENTRO|
|0150|136096F|PONTO VERDE JARDINS LTDA|1058|03980397000113||271016671|2800308||RUA SONIA ALVES LOPES|2130||COROA DO MEIO|
|0150|126389F|CAESB COMPANHIA DE SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL|1058|00082024000137||0732466700167|5300108||AVENIDA SIBIPIRUNA|SN||AGUAS CLARAS|
|0150|133152F|EMBASA EMPRESA BAIANA DE AGUAS E SANEAMENTO SA|1058|13504675000110||00665571|2927408||QUARTA AVENIDA|420||CENTRO|
|0150|128306F|SANEPAR - CIA SANEAMENTO EST. PARANA|1058|76484013000145||1018008064|4106902||AVENIDA LUIZ XAVIER|65||TAMPAO|
|0150|133105F|DMAE DEPARTAMENTO DE AGUA E ESGOTO UBERLANDIA|1058|25769548000121|||3170206||RUA MARTINESIA, 245|APARECIDA||NOSSA SENHORA APARECIDA|
|0150|129624F|CAGECE COMPANHIA DE AGUA E ESGOTO DO CEARA|1058|07040108000157||068592361|2304400||AVENIDA DOUTOR LAURO VIEIRA CHAVES|1030||AEROPORTO|
|0150|451035F|SERVICO AUTONOMO DE AGUA E ESGOTOS DE JABOTICABAL|1058|46712907000184|||3524303||R JORNALISTA CLAUDIO LUIS BERCHIELLI|345||SANTA MONICA|
|0150|126473F|CEDAE COMPANHIA DE ESTADUAL DE AGUAS E ESGOTOS|1058|33352394000104||84780707|3304557||RIO DE JANEIRO|SN||CENTRO|
|0150|132497F|CAGEPA COMPANHIA DE AGUA E ESGOTOS DA PARAIBA|1058|09123654000187|||2507507||AVENIDA FELICIANO SIRNE|SN||JAGUARIBE|
|0150|133087F|DMAE DEPARTAMENTO DE AGUA E ESGOTO DE POCOS DE CALDAS MG|1058|17851361000144|||3151800||RUA SAO PAULO|642||CENTRO|
|0150|132239F|CESAN COMPANHIA ESPIRITO SANTENSE DE SANEAMENTO|1058|28151363000147||080247318|3205309||AV GOV BLEY|196||CENTRO|
|0150|384913F|CAB CUIABA S.A CONCESSIONARIA DE SERVICOS PUBLICOS DE AGUA E ESGOTO|1058|14995581000153|||5103403||AV GONCALO ANTUNES DE BARROS|3196||CARUMBE|
|0150|135662F|COMGAS COMPANHIA DE GAS DE SAO PAULO|1058|61856571000621||108701514110|3505708||AL AMAZONAS|ALPAHVILLE||ALPHAVILLE|
|0150|261317F|MARCOS MEKELBURG - ENCANADOR|1058|09434585000122|||4104808||RUA NAPOLI|560|BR|CASCAVEL VELHO|
|0150|128780F|CORSAN COMPANHIA RIOGRANDENSE DE SANEAMENTO|1058|92802784000190||969001843|4304606||RUA PAPA JOAO XXIII|558||CENTRO|
|0150|126477F|COPASA COMPANHIA DE SANEAMENTO DE MINAS GERAIS|1058|17281106000103||0620001390014|3106200||RUA MARECHAL DE ESPANHA|525||SANTO ANTONIO|
|0150|484739F|TELEFONICA DATA SA|1058|04027547003661||206311310114|3505708||AV. TAMBORE|341||ALPHAVILLE|
|0150|126604F|SANEAGO SANEAMENTO DE GOIAS SA|1058|01616929000102||100133576|5208707||AVENIDA FUED JOSE SEBBA|570||JARDIM GOIAS|
|0150|126942F|COELCE COMPANHIA ENERGETICA DO CEARA|1058|07047251000170||061058483|2304400||AVENIDA BARAO DE STUDART|2917||CENTRO|
|0150|130496F|AGUAS DO PARAIBA SA|1058|01280003000199||84780723|3301009||RUA TENENTE CORONEL CARDOSO|573||CENTRO|
|0150|126071F|SEMASA SERVICO MUNICIPAL SANEAMENTO AMBIENTAL SANTO ANDRE|1058|57604530000166||626723877111|3547809||SANTO ANDRE|SN||CENTRO|
|0150|397993F|SAMAR - SOLUCOES AMBIENTAIS DE ARACATUBA SA|1058|16832157000113|||3502804||R CRISTIANO OLSEN|2350||HIGIENOPOLIS|
|0150|124818F|SABESP COMPANHIA DE SANEAMENTO BASICO DO EST SAO PAULO|1058|43776517000180||109091792118|3550308||ALAMEDA SANTOS|1919||JARDINS|
|0150|324569F|CAERN - COMPANHIA DE AGUAS E ESGOTOS DO RIO GRANDE DO NORTE|1058|08334385000135||200554263|2408102||AVENIDA SENADOR SALGADO FILHO|1555||CENTRO|
|0150|137717F|JM SOLDAS ESPECIAIS COMERCIO DE MANUTENCAO LTDA ME|1058|00651548000100||244544499115|3509502||AVENIDA MIRANDOPOLIS|541||VILA POMPEIA|
|0150|132306F|PROSEGUR BRASIL S/A TRANSPORTADORA DE VAL E SEGURANCA|1058|17428731008209||4101289260|4104808||RUA DOM PEDRO II|2379||CENTRO|
|0150|130316F|DAAE DEPARTAMENTO AUTONOMO DE AGUA E ESGOTO DE RIO CLARO|1058|56401177000154||587275386110|3543907||AVENIDA 8 A|360||CENTRO|
|0150|124105F|DISJUNTAUROS DISJUNTORES LTDA ME|1058|64820228000100||112864283110|3550308||R.MONTE SERRAT|1238||CENTRO|
